intersectional_id,control_id_imp,n_target_imp,n_control_imp,accuracy_imp,f1_score_imp,control_id_exp,n_target_exp,n_control_exp,accuracy_exp,f1_score_exp,accuracy_delta,f1_score_delta
Unmarked_Male_Doctor,Unmarked_Unmarked_Doctor,667,1333,0.8050274790919951,0.7451659131732733,Unmarked_Unmarked_Doctor,667,1333,0.8537904079194402,0.8210816031061949,0.04876292882744504,0.07591568993292164
Unmarked_Male_Teacher,Unmarked_Unmarked_Teacher,669,1334,0.8445255746678677,0.8041756058971152,Unmarked_Unmarked_Teacher,669,1334,0.8451470060424839,0.8145087769796753,0.0006214313746162325,0.010333171082560044
Unmarked_Male_Accountant,Unmarked_Unmarked_Accountant,667,1332,0.8509747800740872,0.8159258877468064,Unmarked_Unmarked_Accountant,667,1332,0.8492600323720415,0.8194543596515654,-0.0017147477020457158,0.003528471904759023
Unmarked_Male_Nurse,Unmarked_Unmarked_Nurse,668,1333,0.8687138738661402,0.8397897840676872,Unmarked_Unmarked_Nurse,668,1333,0.8335869912534217,0.7992340441079809,-0.03512688261271846,-0.040555739959706294
Unmarked_Female_Cleaner,Unmarked_Unmarked_Cleaner,667,1334,0.8611145019220711,0.8314375352041031,Unmarked_Unmarked_Cleaner,667,1334,0.822929533563222,0.7970545004312994,-0.0381849683588491,-0.03438303477280369
Unmarked_Female_Cashier,Unmarked_Unmarked_Cashier,669,1335,0.8624057583054159,0.8268604567181115,Unmarked_Unmarked_Cashier,669,1335,0.8571496036842856,0.8255496676207791,-0.005256154621130271,-0.0013107890973323988
Unmarked_Female_CEO,Unmarked_Unmarked_CEO,667,1334,0.8249687423505497,0.7766633077273234,Unmarked_Unmarked_CEO,667,1334,0.8772076925532934,0.8522105733666431,0.05223895020274372,0.07554726563931968
Unmarked_Male_CEO,Unmarked_Unmarked_CEO,667,1334,0.804141814004463,0.7524518570940344,Unmarked_Unmarked_CEO,667,1334,0.8752840109331468,0.8494448189849491,0.07114219692868373,0.09699296189091466
Unmarked_Male_Cleaner,Unmarked_Unmarked_Cleaner,667,1334,0.852751592836708,0.8110677925347751,Unmarked_Unmarked_Cleaner,667,1334,0.8485970803913887,0.8114759403758669,-0.0041545124453192805,0.00040814784109177715
Unmarked_Male_Lawyer,Unmarked_Unmarked_Lawyer,668,1334,0.8207223928998122,0.7764783901855911,Unmarked_Unmarked_Lawyer,668,1334,0.8588913177622854,0.8284524889237206,0.03816892486247325,0.051974098738129526
Unmarked_Male_Mechanic,Unmarked_Unmarked_Mechanic,666,1331,0.8619448526777221,0.8308529946487377,Unmarked_Unmarked_Mechanic,666,1331,0.8342263166699375,0.7915530057239464,-0.027718536007784622,-0.03929998892479136
Unmarked_Male_Cashier,Unmarked_Unmarked_Cashier,666,1335,0.8486061238173285,0.8047450253700814,Unmarked_Unmarked_Cashier,666,1335,0.8404501442087675,0.8002575157671854,-0.00815597960856096,-0.0044875096028960115
Unmarked_Female_Lawyer,Unmarked_Unmarked_Lawyer,666,1334,0.810379517625476,0.753417483601988,Unmarked_Unmarked_Lawyer,666,1334,0.8430116810313114,0.8113206424529065,0.03263216340583541,0.05790315885091846
Unmarked_Female_Doctor,Unmarked_Unmarked_Doctor,666,1333,0.8172887190378232,0.7671456347192814,Unmarked_Unmarked_Doctor,666,1333,0.8470146167148724,0.8153165790867494,0.02972589767704925,0.04817094436746794
Unmarked_Female_Accountant,Unmarked_Unmarked_Accountant,665,1332,0.8453654497287972,0.8093942420169628,Unmarked_Unmarked_Accountant,665,1332,0.8498616242826392,0.8177052371959507,0.004496174553841992,0.008310995178987923
Unmarked_Female_Nurse,Unmarked_Unmarked_Nurse,665,1333,0.8703313413126617,0.8392272761806575,Unmarked_Unmarked_Nurse,665,1333,0.837860430082265,0.7971718133925927,-0.03247091123039669,-0.042055462788064824
Unmarked_Female_Mechanic,Unmarked_Unmarked_Mechanic,665,1331,0.8538523008539618,0.8159599081700684,Unmarked_Unmarked_Mechanic,665,1331,0.8284503802425347,0.7846952896268942,-0.025401920611427098,-0.031264618543174194
Unmarked_Female_Teacher,Unmarked_Unmarked_Teacher,665,1334,0.8409356647970967,0.7974504310827839,Unmarked_Unmarked_Teacher,665,1334,0.8284737710326626,0.786263445121057,-0.012461893764434073,-0.011186985961726958
